species	rundate	headid	collection.date	population	position	Bdeadflowers	Bsingleseeds	Bsinglepappi	Bpappusseed	Beggcases	Ddeadflowers	Dsingleseeds	Dsinglepappi	Dpappusseed	Deggcases	Dtseeds	dissector	dissect.date	diameter 	intact.seeds	seed.id	plength	pwidth	drop.time	unattached.seeds 	cysts	stuck.seeds 	Aeggcases	Tseeds	Teggcases	seed.mass
n	8/6/2007	62	7/15/2007	C	800	69	6	10	58	0	0	0	0	1	0	1	Mason.Heberling	5/19/2008	22.7	54	10	14.9	15.6	1.705	17	0	11	2	147	2	0.0011
n	8/6/2007	63	7/15/2007	C	300	0	0	0	0	0	0	0	0	0	0	0	Brosi.Bradley/Megan.Lundgren	5/15/2008	38.4	NA	NA	NA	NA	NA	0	1	2	5	NA	5	NA
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	1	19.7	27.9	2.49	7	0	1	3	97	3	0.0031
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	2	16.6	19.1	1.53	7	0	1	3	97	3	0.0028
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	3	18.1	33.1	2.9	7	0	1	3	97	3	0.0028
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	4	18.3	22.5	2.4	7	0	1	3	97	3	0.0027
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	5	18.3	27.5	2.48	7	0	1	3	97	3	0.003
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	6	17.6	30.1	2.75	7	0	1	3	97	3	0.0029
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	7	15.9	27.1	2.31	7	0	1	3	97	3	0.0025
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	8	17.8	18.5	1.65	7	0	1	3	97	3	0.0028
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	9	17.8	30.2	2.61	7	0	1	3	97	3	0.0031
n	8/6/2007	64	7/15/2007	C	500	0	0	0	0	0	5	3	3	2	0	5	Brosi.Bradley	5/14/2008	31.7	84	10	18.3	21.1	1.99	7	0	1	3	97	3	0.0025
n	8/6/2007	65	7/15/2007	C	200	0	0	0	0	0	0	0	0	0	0	0	Mason.Heberling	5/19/2008	37.9	0	NA	NA	NA	NA	0	15	0	7	0	7	NA
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	1	17.1	22	2.15	63	0	63	1	197	1	0.0017
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	2	19.2	19.2	2.02	63	0	63	1	197	1	0.0023
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	3	17.6	18.9	2.1	63	0	63	1	197	1	0.0018
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	4	19	21	2.08	63	0	63	1	197	1	0.002
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	5	21.5	21.8	2.09	63	0	63	1	197	1	0.0022
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	6	17.3	20.4	2.07	63	0	63	1	197	1	0.0015
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	7	20.6	22.2	2.07	63	0	63	1	197	1	0.0023
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	8	18.6	18.8	2.22	63	0	63	1	197	1	0.0016
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	9	18.3	19.1	2.04	63	0	63	1	197	1	0.0025
n	8/6/2007	66	7/15/2007	C	900	0	0	0	0	0	0	0	0	0	0	0	Maggie.Wilkens	3/27/2008	31.3	71	10	20.3	19.6	2.32	63	0	63	1	197	1	0.0016
n	8/6/2007	67	7/15/2007	C	100	0	0	0	0	0	0	0	0	0	0	0	Mason.Heberling	3/27/2008	36.8	0	NA	NA	NA	NA	NA	3	3	1	NA	1	NA
n	8/6/2007	68	7/23/2007	C	200	0	0	0	0	0	0	0	0	0	0	0	Mason.Heberling	3/27/2008	27.9	3	1	19.9	13.1	1.78	0	0	0	0	3	0	0.0017
n	8/6/2007	68	7/23/2007	C	200	0	0	0	0	0	0	0	0	0	0	0	Mason.Heberling	3/27/2008	27.9	3	2	22.5	16.3	1.96	0	0	0	0	3	0	0.0013
n	8/6/2007	68	7/23/2007	C	200	0	0	0	0	0	0	0	0	0	0	0	Mason.Heberling	3/27/2008	27.9	3	3	20.1	17.4	2.06	0	0	0	0	3	0	0.0019
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	1	13.2	21.1	2.8	12	0	0	0	118	0	0.0014
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	2	14.3	27.4	3.25	12	0	0	0	118	0	0.0018
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	3	12.9	24.1	2.9	12	0	0	0	118	0	0.0017
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	4	15.6	26.8	3.15	12	0	0	0	118	0	0.002
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	5	13.1	26.6	3	12	0	0	0	118	0	0.0019
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	6	14.7	26.3	3	12	0	0	0	118	0	0.002
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	7	13.1	21.1	2.84	12	0	0	0	118	0	0.0014
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	8	13.5	22.5	2.81	12	0	0	0	118	0	0.0012
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	9	14.3	24.8	3.1	12	0	0	0	118	0	0.002
n	8/6/2007	69	7/23/2007	BE	NA	100	65	71	0	0	20	14	16	3	0	17	Mason.Heberling	3/27/2008	34.8	24	10	14	20.8	2.88	12	0	0	0	118	0	0.0013
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	1	23.7	43.4	2.33	36	0	2	0	217	0	0.0047
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	2	22.1	36	2.25	36	0	2	0	217	0	0.0044
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	3	22.4	30.9	2.545	36	0	2	0	217	0	0.0033
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	4	23.5	40.2	2.84	36	0	2	0	217	0	0.005
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	5	18.9	33.4	2.145	36	0	2	0	217	0	0.0047
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	6	21.9	27.8	2.03	36	0	2	0	217	0	0.0016
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	7	20.1	32.3	2.52	36	0	2	0	217	0	0.0018
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	8	22.6	34.7	3.06	36	0	2	0	217	0	0.003
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	9	21.5	38.1	2.87	36	0	2	0	217	0	0.0032
n	8/6/2007	70	7/23/2007	BE	NA	87	36	37	10	0	56	31	30	0	0	31	Mason.Heberling	5/15/2008	43.6	102	10	20.6	37.4	2.66	36	0	2	0	217	0	NA
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	1	27.1	33.7	4.15	13	0	10	0	229	1	0.0001
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	2	18.3	20.7	3.56	13	0	10	0	229	1	0.0017
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	3	20.3	23.7	3.1	13	0	10	0	229	1	0.0018
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	4	17.2	22.1	2.12	13	0	10	0	229	1	0.0001
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	5	8.6	17.2	2.62	13	0	10	0	229	1	0
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	6	17.6	30.2	3.48	13	0	10	0	229	1	0
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	7	18.3	27.7	3.26	13	0	10	0	229	1	0
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	8	19.3	30.5	2.5	13	0	10	0	229	1	0
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	9	20.6	33.8	2.86	13	0	10	0	229	1	0.0001
n	8/6/2007	71	7/23/2007	BE	NA	194	103	116	68	1	21	22	21	3	0	25	Richard.Ashby	4/18/2008	30.2	10	10	16.3	23.6	3.12	13	0	10	0	229	1	0.0017
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	1	19.3	24.7	3.13	29	0	0	0	69	0	0.0013
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	2	19.5	30.4	3.155	29	0	0	0	69	0	0.0018
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	3	17.3	31.2	3.625	29	0	0	0	69	0	0.0014
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	4	15.5	31.5	3.22	29	0	0	0	69	0	0.0026
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	5	18.8	23	2.8	29	0	0	0	69	0	0.0011
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	6	18.7	29	2.47	29	0	0	0	69	0	0.0023
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	7	18.8	32.9	3.12	29	0	0	0	69	0	0.002
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	8	18.1	26.8	2.53	29	0	0	0	69	0	0.0015
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	9	18.2	31.1	3.25	29	0	0	0	69	0	0.0023
n	8/6/2007	72	7/23/2007	BE	NA	18	0	2	2	0	26	3	15	0	0	3	Brosi.Bradley/Megan.Lundgren	5/15/2008	27.1	35	10	18.6	30.2	3.075	29	0	0	0	69	0	0.0024
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	1	16.8	34.6	3.325	5	0	20	1	130	1	0.002
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	2	15.8	23.5	2.66	5	0	20	1	130	1	0.0024
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	3	14	26.9	2.92	5	0	20	1	130	1	0.002
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	4	15.6	27.9	3.6	5	0	20	1	130	1	0.0018
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	5	16.3	24.7	3.15	5	0	20	1	130	1	0.0021
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	6	16.8	26.7	2.9	5	0	20	1	130	1	0.0023
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	7	14.1	29.4	2.88	5	0	20	1	130	1	0.0021
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	8	13.9	25.7	2.53	5	0	20	1	130	1	0.0019
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	9	14.7	28.5	3.25	5	0	20	1	130	1	0.002
n	8/6/2007	73	7/23/2007	BE	NA	71	13	15	54	0	23	23	23	3	0	26	Rick.Pongrance	3/28/2008	27.1	12	10	16.7	25.4	3.3	5	0	20	1	130	1	0.0017
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	1	18	31.8	3.03	128	0	2	0	293	0	0.0028
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	2	20.5	26.6	2.595	128	0	2	0	293	0	0.0017
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	3	20.9	28.2	2.92	128	0	2	0	293	0	0.0024
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	4	19	23	2.19	128	0	2	0	293	0	0.0024
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	5	22.3	32.7	2.97	128	0	2	0	293	0	0.0022
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	6	22	33.2	2.705	128	0	2	0	293	0	0.0027
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	7	19	32.6	3.33	128	0	2	0	293	0	0.0027
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	8	20.7	32.1	3.145	128	0	2	0	293	0	0.0027
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	9	19.5	27	3.045	128	0	2	0	293	0	0.0017
n	8/6/2007	74	7/23/2007	BE	NA	18	0	0	0	0	16	0	0	0	0	0	Brosi.Bradley	5/15/2008	31.7	163	10	20.7	31.2	3.11	128	0	2	0	293	0	0.0026
n	8/6/2007	75	7/15/2007	BE	NA	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/28/2008	48.4	0	NA	NA	NA	NA	0	10	80	29	80	29	NA
n	8/6/2007	76	7/23/2007	BE	NA	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/28/2008	30.2	0	NA	NA	NA	NA	0	16	32	21	32	21	NA
n	8/6/2007	77	7/23/2007	BE	NA	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/28/2008	46.4	0	NA	NA	NA	NA	0	21	0	37	0	37	NA
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	1	17.3	36.7	4.25	7	0	3	0	185	0	0.0017
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	2	16.5	35	4.17	7	0	3	0	185	0	0.0018
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	3	18.8	34.2	4.18	7	0	3	0	185	0	0.0018
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	4	17.8	22.4	3.095	7	0	3	0	185	0	0.0012
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	5	15.9	25.8	3.25	7	0	3	0	185	0	0.0019
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	6	17.6	29.9	3.25	7	0	3	0	185	0	0.0013
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	7	19.2	36.3	3.875	7	0	3	0	185	0	0.0022
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	8	16.6	33.2	4.43	7	0	3	0	185	0	0.0016
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	9	17.9	29.5	3.075	7	0	3	0	185	0	0.0016
n	8/6/2007	78	7/23/2007	BE	NA	41	15	15	78	0	25	16	16	16	0	32	Brosi.Bradley	5/19/2008	29.7	50	10	17.3	36.9	3.7	7	0	3	0	185	0	0.0013
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	1	20	36.6	2.9	29	0	0	0	165	0	0.0036
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	2	24.8	36.5	2.67	29	0	0	0	165	0	0.0036
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	3	20.5	35	2.44	29	0	0	0	165	0	0.0034
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	4	18.9	30.7	2.58	29	0	0	0	165	0	0.0037
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	5	21.3	41.4	3.48	29	0	0	0	165	0	0.0038
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	6	22.9	39.6	3.35	29	0	0	0	165	0	0.0036
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	7	23.7	36.2	3.08	29	0	0	0	165	0	0.0034
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	8	21.2	28.8	2.22	29	0	0	0	165	0	0.0036
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	9	23.6	38.3	3.1	29	0	0	0	165	0	0.0036
n	8/6/2007	79	7/23/2007	BE	NA	13	0	0	0	0	15	0	0	0	0	0	Mason.Heberling	3/27/2008	43.1	136	10	22	36.1	3	29	0	0	0	165	0	0.0039
n	8/6/2007	80	7/23/2007	BE	NA	2	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	3/28/2008	40.1	1	1	14.3	17.3	1.79	0	11	26	17	27	17	0.0009
n	8/6/2007	81	7/15/2007	BE	NA	0	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	4/4/2008	33.6	0	NA	NA	NA	NA	0	20	19	24	19	24	NA
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	1	23.2	32.7	2.62	10	0	1	0	114	0	0.0035
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	2	22.1	29.3	2.48	10	0	1	0	114	0	0.0032
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	3	23	41.3	3.42	10	0	1	0	114	0	0.0035
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	4	24.7	39.8	3.57	10	0	1	0	114	0	0.0036
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	5	20.8	26.8	1.95	10	0	1	0	114	0	0.0036
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	6	20.5	16.6	1.56	10	0	1	0	114	0	0.0031
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	7	23	32.5	2.42	10	0	1	0	114	0	0.0032
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	8	22.8	33.1	2.5	10	0	1	0	114	0	0.0034
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	9	23.3	43.7	3.34	10	0	1	0	114	0	0.0035
n	8/6/2007	82	7/23/2007	BE	NA	16	0	0	0	0	24	16	16	0	0	16	Mason.Heberling	4/10/2008	34.1	87	10	23.2	37.2	3.15	10	0	1	0	114	0	0.0035
n	8/6/2007	83	7/23/2007	BE	NA	0	0	0	0	0	1	0	0	0	0	0	Caitlin.Sullivan	4/4/2008	35.8	0	NA	NA	NA	NA	0	27	1	25	1	25	NA
n	8/6/2007	84	7/23/2007	BE	NA	0	0	0	0	1	0	0	0	0	0	0	Caitlin.Sullivan	4/4/2008	39.2	0	NA	NA	NA	NA	0	15	0	18	0	19	NA
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	1	21	31.8	3.26	38	5	25	0	311	0	0.0027
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	2	20	34.6	2.83	38	5	25	0	311	0	0.0023
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	3	21.4	25.1	4.03	38	5	25	0	311	0	0.0021
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	4	17.6	37.4	3.18	38	5	25	0	311	0	0.002
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	5	20.7	31.7	2.85	38	5	25	0	311	0	0.0021
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	6	24.3	17.7	3.05	38	5	25	0	311	0	0.0021
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	7	16.9	24.1	2.62	38	5	25	0	311	0	0.002
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	8	24.6	18.9	3.54	38	5	25	0	311	0	0.003
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	9	19.6	37	2.39	38	5	25	0	311	0	0.0031
n	8/6/2007	85	7/23/2007	BE	NA	37	16	18	0	0	42	26	24	1	0	27	Richard.Ashby	4/9/2008	26.2	205	10	18.7	34	3.16	38	5	25	0	311	0	0.0023
n	8/9/2007	86	7/23/2007	BE	NA	0	0	0	0	0	0	0	0	0	0	0	Mason.Heberling	4/10/2008	50.4	0	NA	NA	NA	NA	0	22	0	9	0	9	NA
n	8/9/2007	87	7/23/2007	BE	NA	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	4/4/2008	42.8	0	NA	NA	NA	NA	0	21	2	25	2	25	NA
n	8/9/2007	88	7/23/2007	BE	NA	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	4/4/2008	49.9	0	NA	NA	NA	NA	0	26	23	26	23	26	NA
n	8/9/2007	89	7/23/2007	BE	NA	91	33	33	73	0	17	4	12	0	0	4	Richard.Ashby	4/9/2008	22	25	1	11.2	24.2	2.74	24	0	1	0	160	0	0.0009
n	8/9/2007	89	7/23/2007	BE	NA	91	33	33	73	0	17	4	12	0	0	4	Richard.Ashby	4/9/2008	22	25	2	16.5	26.7	4.04	24	0	1	0	160	0	0.0024
